eps_xx,sigma_xx_MPa,time,U1_raw
2.15698085e-03,2.80348227e+02,0.462984,2.29811785e-03
2.16862797e-03,2.80883456e+02,0.465484,2.30976497e-03
2.18027509e-03,2.81417372e+02,0.467984,2.32141209e-03
2.19192221e-03,2.81950224e+02,0.470484,2.33305921e-03
2.20356933e-03,2.82482238e+02,0.472984,2.34470633e-03
2.21521668e-03,2.83013708e+02,0.475484,2.35635368e-03
2.22686380e-03,2.83544838e+02,0.477984,2.36800080e-03
2.23851092e-03,2.84075765e+02,0.480484,2.37964792e-03
2.25015804e-03,2.84606510e+02,0.482984,2.39129504e-03
2.26180516e-03,2.85137233e+02,0.485484,2.40294216e-03
2.27345228e-03,2.85667752e+02,0.487984,2.41458928e-03
2.28509940e-03,2.86198452e+02,0.490484,2.42623640e-03
2.29674675e-03,2.86729130e+02,0.492984,2.43788376e-03
2.30839387e-03,2.87260192e+02,0.495484,2.44953088e-03
2.32004099e-03,2.87791368e+02,0.497984,2.46117800e-03
2.33168811e-03,2.88322589e+02,0.500484,2.47282512e-03
2.34333523e-03,2.88853946e+02,0.502984,2.48447224e-03
2.35498235e-03,2.89385371e+02,0.505484,2.49611936e-03
2.36662971e-03,2.89916886e+02,0.507984,2.50776671e-03
2.37827683e-03,2.90448583e+02,0.510484,2.51941383e-03
2.38992395e-03,2.90980461e+02,0.512984,2.53106095e-03
2.40157107e-03,2.91512542e+02,0.515484,2.54270807e-03
2.41321819e-03,2.92044828e+02,0.517984,2.55435519e-03
2.42486531e-03,2.92577317e+02,0.520484,2.56600231e-03
2.43651266e-03,2.93109919e+02,0.522984,2.57764966e-03
2.44815978e-03,2.93642590e+02,0.525484,2.58929678e-03
2.45980690e-03,2.94175464e+02,0.527984,2.60094390e-03
2.47145402e-03,2.94708520e+02,0.530484,2.61259102e-03
2.48310114e-03,2.95241688e+02,0.532984,2.62423814e-03
2.49474826e-03,2.95774902e+02,0.535484,2.63588526e-03
2.50639561e-03,2.96308139e+02,0.537984,2.64753262e-03
2.51804273e-03,2.96841444e+02,0.540484,2.65917974e-03
2.52968985e-03,2.97374726e+02,0.542984,2.67082686e-03
2.54133697e-03,2.97908030e+02,0.545484,2.68247398e-03
2.54424875e-03,2.98041062e+02,0.546109,2.68538576e-03
2.54861642e-03,2.98240496e+02,0.547047,2.68975343e-03
