eps_xx,sigma_xx_MPa,time,U1_raw
1.80164643e-03,1.16799018e+02,0.385062,-1.37719524e-03
1.81334361e-03,1.17274583e+02,0.387563,-1.36549806e-03
1.82504067e-03,1.17750125e+02,0.390063,-1.35380100e-03
1.83673773e-03,1.18225701e+02,0.392563,-1.34210393e-03
1.84843491e-03,1.18701515e+02,0.395063,-1.33040675e-03
1.86013198e-03,1.19177498e+02,0.397563,-1.31870969e-03
1.87182904e-03,1.19653482e+02,0.400063,-1.30701263e-03
1.88352622e-03,1.20129443e+02,0.402562,-1.29531545e-03
1.89522328e-03,1.20605302e+02,0.405062,-1.28361839e-03
1.90692034e-03,1.21081036e+02,0.407562,-1.27192133e-03
1.91861752e-03,1.21556590e+02,0.410062,-1.26022415e-03
1.93031458e-03,1.22031883e+02,0.412562,-1.24852709e-03
1.94201176e-03,1.22506802e+02,0.415062,-1.23682991e-03
1.95370882e-03,1.22981177e+02,0.417563,-1.22513284e-03
1.96540589e-03,1.23454942e+02,0.420063,-1.21343578e-03
1.97710306e-03,1.23927913e+02,0.422563,-1.20173860e-03
1.98880013e-03,1.24400013e+02,0.425063,-1.19004154e-03
2.00049719e-03,1.24870810e+02,0.427563,-1.17834448e-03
2.01219437e-03,1.25340339e+02,0.430063,-1.16664730e-03
2.02389143e-03,1.25808589e+02,0.432563,-1.15495024e-03
2.03558849e-03,1.26275627e+02,0.435062,-1.14325318e-03
2.04728567e-03,1.26741362e+02,0.437562,-1.13155600e-03
2.05898273e-03,1.27205750e+02,0.440062,-1.11985893e-03
2.07067991e-03,1.27668746e+02,0.442562,-1.10816176e-03
2.08237697e-03,1.28130280e+02,0.445062,-1.09646469e-03
2.09407404e-03,1.28590263e+02,0.447562,-1.08476763e-03
2.10577121e-03,1.29048650e+02,0.450063,-1.07307045e-03
2.11746828e-03,1.29505417e+02,0.452563,-1.06137339e-03
2.12916534e-03,1.29960474e+02,0.455063,-1.04967633e-03
2.14086252e-03,1.30413901e+02,0.457563,-1.03797915e-03
2.15255958e-03,1.30865731e+02,0.460063,-1.02628209e-03
2.16425664e-03,1.31316010e+02,0.462563,-1.01458502e-03
2.17595382e-03,1.31764827e+02,0.465062,-1.00288785e-03
2.18765088e-03,1.32212275e+02,0.467562,-9.91190784e-04
2.19934795e-03,1.32658138e+02,0.470062,-9.79493721e-04
2.21104512e-03,1.33102879e+02,0.472562,-9.67796543e-04
2.22274219e-03,1.33546375e+02,0.475062,-9.56099480e-04
