eps_xx,sigma_xx_MPa,time,U1_raw
1.80093694e-03,2.69265714e+02,0.373937,1.78479275e-03
1.81297731e-03,2.70072624e+02,0.376437,1.79683312e-03
1.82501768e-03,2.70857158e+02,0.378938,1.80887349e-03
1.83705805e-03,2.71621671e+02,0.381438,1.82091387e-03
1.84909831e-03,2.72359279e+02,0.383938,1.83295412e-03
1.86113868e-03,2.73075508e+02,0.386438,1.84499449e-03
1.87317905e-03,2.73769248e+02,0.388938,1.85703486e-03
1.88521942e-03,2.74439865e+02,0.391438,1.86907523e-03
1.89725979e-03,2.75087517e+02,0.393937,1.88111560e-03
1.90930016e-03,2.75711661e+02,0.396437,1.89315598e-03
1.92134054e-03,2.76312455e+02,0.398937,1.90519635e-03
1.93338091e-03,2.76890013e+02,0.401437,1.91723672e-03
1.94542128e-03,2.77443451e+02,0.403937,1.92927709e-03
1.95746165e-03,2.77973449e+02,0.406437,1.94131746e-03
1.96950202e-03,2.78479600e+02,0.408938,1.95335783e-03
1.98154239e-03,2.78962989e+02,0.411438,1.96539820e-03
1.99358276e-03,2.79422689e+02,0.413938,1.97743857e-03
2.00562313e-03,2.79859606e+02,0.416438,1.98947894e-03
2.01766350e-03,2.80275030e+02,0.418938,2.00151931e-03
2.02970388e-03,2.80669392e+02,0.421438,2.01355969e-03
2.04174401e-03,2.81042533e+02,0.423937,2.02559982e-03
2.05378438e-03,2.81395065e+02,0.426437,2.03764020e-03
2.06582476e-03,2.81728278e+02,0.428937,2.04968057e-03
2.07786513e-03,2.82041969e+02,0.431437,2.06172094e-03
2.08990550e-03,2.82335980e+02,0.433937,2.07376131e-03
2.10194587e-03,2.82611555e+02,0.436437,2.08580168e-03
2.11398624e-03,2.82868990e+02,0.438937,2.09784205e-03
2.12602661e-03,2.83107831e+02,0.441438,2.10988242e-03
2.13806698e-03,2.83329483e+02,0.443938,2.12192279e-03
2.15010735e-03,2.83534194e+02,0.446438,2.13396316e-03
2.16214772e-03,2.83721535e+02,0.448938,2.14600354e-03
2.17418810e-03,2.83892659e+02,0.451438,2.15804391e-03
2.18622847e-03,2.84048928e+02,0.453938,2.17008428e-03
2.19826884e-03,2.84186466e+02,0.456437,2.18212465e-03
2.21030921e-03,2.84309510e+02,0.458937,2.19416502e-03
2.22234958e-03,2.84414074e+02,0.461437,2.20620539e-03
2.23438995e-03,2.84504302e+02,0.463937,2.21824576e-03
2.24643032e-03,2.84576208e+02,0.466437,2.23028613e-03
2.25847069e-03,2.84634072e+02,0.468937,2.24232650e-03
2.27051106e-03,2.84673728e+02,0.471438,2.25436687e-03
2.28255144e-03,2.84699207e+02,0.473938,2.26640725e-03
2.29459181e-03,2.84706409e+02,0.476438,2.27844762e-03
2.30663194e-03,2.84699954e+02,0.478938,2.29048776e-03
