kind,step,phase,item,value,x,y,z,basis,verdict
hotspot,Manufacturing_Cooling,MATRIX,rank26_element13278,0.32785,-0.00431806,1.46903,0.412746,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank27_element11758,0.32737,-0.271236,1.78495,-0.0126594,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank28_element12529,0.32732,1.73592,2.09696,0.0091742,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank29_element22354,0.32704,1.79035,-0.095961,-0.00325885,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank30_element22334,0.326989,1.83518,0.0115088,-0.0148383,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,ALL,elements_at_cap,0,,,,"DAMG >= 0.9900, the card's DMAX",single_point
profile,Manufacturing_Cooling,ALL,x_000_010pct,0.00701325,,,,"volume-weighted mean DAMG, x in [-0.8653, -0.5173] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_010_020pct,0.0261337,,,,"volume-weighted mean DAMG, x in [-0.5173, -0.1692] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_020_030pct,0.0377849,,,,"volume-weighted mean DAMG, x in [-0.1692, 0.1789] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_030_040pct,0.0263495,,,,"volume-weighted mean DAMG, x in [0.1789, 0.527] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_040_050pct,0.00646297,,,,"volume-weighted mean DAMG, x in [0.527, 0.8751] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_050_060pct,0.00674573,,,,"volume-weighted mean DAMG, x in [0.8751, 1.223] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_060_070pct,0.0249434,,,,"volume-weighted mean DAMG, x in [1.223, 1.571] mm",interior_dominant
